finding_id,topic,evidence_checked,report_decision,permitted_conclusion,prohibited_inference,source_name,source_url,status
AFA-001,Casualty estimates,"Iran self-report 3,528 total; HRANA 3,684 classified/unclear total; OCHA 3,400+ civilians; adversary 6,000+ military, all taken from one secondary compilation with non-aligned as-of notes.",EXCLUDE_FROM_QUANTITATIVE_MODEL,"The mismatch demonstrates denominator, timing and source-verification risk.","Do not infer the true toll, the direction of each party's bias, intent to misreport, or a conflict-intensity series.","Supplied casualty compilation",data/reference/casualty_damage_estimates.csv,EXCLUDED_SOURCE_CRITICISM_ONLY
AFA-002,OLS beta pattern,"Pre-event OLS estimates use 791 observations: LMT beta 0.181/R2 0.015; NOC 0.101/0.004; RTX 0.486/0.096; NVDA 2.147/0.417; PLTR 2.328/0.273.",INCLUDE_AS_MODEL_DIAGNOSTIC,"The firms differ substantially in historical broad-market loading; low R2 for the three traditional primes makes single-benchmark estimates model-sensitive.","Do not interpret beta as conflict sensitivity or low beta as proof of a conflict-specific return.","Derived market panel",data/processed/market/company_benchmark_returns.csv,INCLUDED_REPRODUCIBLE_DIAGNOSTIC
AFA-003,Patriot replenishment,"CSIS inventory estimate, AP production report and primary product mappings for RTX GEM-T and Lockheed PAC-3 MSE.",INCLUDE_AS_CONTEXT,"There is a documented replenishment and production-capacity channel relevant to both RTX and Lockheed Martin.","Do not call the inventory estimate official, count repeated reports as independent estimates, assign all Patriot demand to RTX, or infer a causal equity effect.","CSIS; AP; RTX; U.S. Army",data/reference/patriot_supply_context.csv,INCLUDED_CONTEXT_NOT_CAUSAL
AFA-004,German DAX and Bund channels,"Sparse user-supplied news anchors mix closes, intraday levels and approximate highs; three observations are after the fixed 18 August cutoff.",FUTURE_RESEARCH_ONLY,"Equity-index and sovereign-yield channels are plausible extensions requiring continuous official series and controls.","Do not estimate a German channel or attribute selected DAX/Bund observations to the conflict.","User-supplied late change file",user-supplied/black_doves_changed_files_only.zip,EXCLUDED_INSUFFICIENT_DESIGN
AFA-005,Pentagon casualty recategorization,"Two paraphrased RND pilot summaries were supplied; no versioned primary releases were verified in the package.",EXCLUDE_PENDING_PRIMARY_VERIFICATION,"Changing definitions would create a structural break if independently documented.","Do not state that figures were manipulated or use the pilot summaries as a time-consistent escalation proxy.","Unreviewed media pilot",user-supplied/black_doves_changed_files_only.zip,EXCLUDED_UNVERIFIED
AFA-006,Media source imbalance,"Latest supplied pilot contains 247 documents; RND contributes 178 (72.1% of all documents and 86.4% of the 206 NEWS-layer records); zero records are manually reviewed.",EXCLUDE_FROM_FINDINGS,"The corpus is unsuitable for cross-country media-intensity comparisons and the concentration itself is a sampling audit result.","Do not infer that German coverage objectively dominated or use auto-suggested classifications as validated evidence.","Derived audit of unreviewed pilot",data/reference/media_sampling_audit.csv,EXCLUDED_SAMPLING_ARTIFACT
AFA-007,Rheinmetall July two-day run,"Rheinmetall accumulated +9.86% market-adjusted return on 1-2 July; all nine defence contractors were positive on both days and their mean two-day return was +6.99%.",INCLUDE_POST_HOC_CHECK,"The movement was sector-wide; a firm-specific component remains possible but is not isolated.","Do not attribute the two-day run solely to the Skynex announcement or to a selected political speech without a separately identified event design.","Derived from complete market panel",data/analysis/post_hoc_market_checks.csv,INCLUDED_POST_HOC_NOT_CAUSAL
AFA-008,Pentagon production report market anchor,"On 10 August LMT was +2.65%, NOC +1.16%, GD +1.06% and RTX +0.55%; all four were positive, but their +1.35% mean was below the +1.46% mean of the 14 non-defence S&P-benchmarked comparison firms.",INCLUDE_POST_HOC_CHECK,"The Sunday-to-Monday timing is plausible and the four U.S. primes moved together, but the result is not sector-specific in this panel.","Do not describe two selected companies as independent causal confirmation or claim a direct media-to-price effect.","Associated Press and derived market panel",data/analysis/post_hoc_market_checks.csv,INCLUDED_POST_HOC_NOT_CAUSAL
AFA-009,BlackRock ownership network,"Official Q2 2026 Form 13F combination report confirms positions in LMT, NOC, RTX and Exxon; values are aggregated by CUSIP across filing rows.",INCLUDE_AS_STRUCTURAL_CONTEXT,"Issuer-sector categories do not represent an ownership network; common institutional holdings are a distinct descriptive layer.","Do not treat customer fund assets as BlackRock's own balance-sheet gain, infer voting influence, or claim ownership percentages without matched shares-outstanding data.","U.S. Securities and Exchange Commission",data/reference/blackrock_13f_holdings.csv,INCLUDED_REGULATORY_CONTEXT
AFA-010,Israel-to-Germany direct channel,"The project has country-role statements and German market/energy outcomes but no pre-specified set of Israeli decision events linked to German target assets.",IDENTIFIED_RESEARCH_GAP,"A direct bilateral channel is not identified by the current design and requires a separate event study.","Do not infer a direct Israel-to-Germany effect from parallel narrative and German price series.","Design audit",README.md,FUTURE_RESEARCH_ONLY
AFA-011,Post-cutoff media and market coverage,"Some raw market histories extend to 2 September and media documents to 14 September, while the approved core endpoint is 18 August 2026.",KEEP_OUTSIDE_CORE_ANALYSIS,"Later records may motivate a future, newly specified extension.","Do not move the endpoint after inspecting dramatic later stories or mix post-cutoff context into the fixed-window estimands.","Design audit",README.md,EXCLUDED_POST_CUTOFF
