source_release_id,event_date,publication_date,initiator_country_code,affected_country_code,strike_type,operation_day_count,verification_status,include_in_core_series,counting_unit,title,location,weapon_system,description,source_id,source_url
4418396,2026-02-28,2026-02-28,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Launch Operation Epic Fury,Iran,"Precision munitions from air, land and sea; one-way attack drones","CENTCOM says U.S. and partner forces began striking Iranian command, air-defence, missile, drone and military-airfield targets on February 28.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4418396/us-forces-launch-operation-epic-fury/
4504919,2026-05-30,2026-05-31,US,IR,airstrike,1,CONFIRMED,true,official_release_confirmed_operation_day,"U.S. Defends, Disables Threats in Response to Iranian Aggression","Goruk and Qeshm Island, Iran",U.S. fighter aircraft,"CENTCOM identifies Saturday as one of two days of self-defence strikes on Iranian radar, air-defence and drone command-and-control sites.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4504919/us-defends-disables-threats-in-response-to-iranian-aggression/
4504919,2026-05-31,2026-05-31,US,IR,airstrike,1,CONFIRMED,true,official_release_confirmed_operation_day,"U.S. Defends, Disables Threats in Response to Iranian Aggression","Goruk and Qeshm Island, Iran",U.S. fighter aircraft,"CENTCOM identifies Sunday as one of two days of self-defence strikes on Iranian radar, air-defence and drone command-and-control sites.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4504919/us-defends-disables-threats-in-response-to-iranian-aggression/
4512968,2026-06-09,2026-06-09,US,IR,airstrike,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Completes Strikes in Response to Iran's Attack on Apache,Near the Strait of Hormuz,"Precision munitions from U.S. Air Force and Navy fighter jets","CENTCOM confirms self-defence strikes on Iranian air defence, ground-control stations and surveillance radar sites on June 9.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4512968/us-completes-strikes-in-response-to-irans-attack-on-apache/
4514154,2026-06-10,2026-06-10,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Complete Latest Strikes in Iran,Iran,"Precision munitions from U.S. Marine Corps, Air Force and Navy assets","CENTCOM confirms additional self-defence strikes on Iranian surveillance, communications and air-defence targets on June 10.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4514154/us-forces-complete-latest-strikes-in-iran/
4528341,2026-06-26,2026-06-26,US,IR,airstrike,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Strikes Iran in Response to Attack on Commercial Vessel,Iran,U.S. aircraft,"CENTCOM confirms U.S. strikes on Iranian missile and drone storage locations and coastal radar sites on June 26.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4528341/us-strikes-iran-in-response-to-attack-on-commercial-vessel/
4528488,2026-06-27,2026-06-27,US,IR,airstrike,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Conduct Additional Strikes After Iran's Latest Commercial Ship Attack,Iran,U.S. military aircraft,"CENTCOM confirms additional strikes on Iranian surveillance, communications, air-defence, drone-storage and minelayer targets on June 27.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4528488/us-forces-conduct-additional-strikes-after-irans-latest-commercial-ship-attack/
4535772,2026-07-07,2026-07-07,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Complete New Round of Retaliatory Strikes Against Iran,Iran,Precision munitions,"CENTCOM confirms offensive strikes on Iranian air defence, command networks, coastal radar, anti-ship missiles and IRGC small boats on July 7.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4535772/us-forces-complete-new-round-of-retaliatory-strikes-against-iran/
4538814,2026-07-08,2026-07-08,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Complete Another Round of Strikes Against Iran,Iran,Precision munitions,"CENTCOM confirms strikes on Iranian air defence, coastal surveillance, missile and drone storage, naval and logistics targets on July 8.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4538814/us-forces-complete-another-round-of-strikes-against-iran/
4540919,2026-07-11,2026-07-11,US,IR,other,1,CONFIRMED,true,official_release_confirmed_operation_day,U.S. Forces Finish Latest Round of Strikes Against Iran,Iran,"Precision munitions from land- and sea-based aircraft, drones and naval vessels","CENTCOM confirms a third round that week against Iranian missile, drone, naval, ammunition, communications and coastal-surveillance targets on July 11.",US_CENTCOM_PUBLIC_RELEASES,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4540919/us-forces-finish-latest-round-of-strikes-against-iran/
